company_name,url,ideal_talent_profile,core_values,detailed_description
삼성E&A,https://www.samsungena.com/kr/about-us/company/vision,앞선 기술로 더 나은 미래를 구현하는 엔지니어링 역량을 갖춘 인재,"창의성, 협업, 책임","Creativity
“새로운 가치를 창출하는 인재. 기존과 다른 관점에서 고민하고 혁신한다. 끊임없이 배우고 경험을 쌓아 실력을 키우며, 실패를 두려워하지 않고 도전한다.”
Collaboration
“개방적으로 협력하는 인재. 상대방을 존중·배려하며 성과를 함께 만들고, 솔직하게 토론하며 이해관계자와 협력해 성장한다.”
Commitment
“책임을 다하고 신뢰를 주는 인재. 안전을 경영의 제1원칙으로 준수하고, 품질을 나와 회사의 자존심으로 완벽하게 지키며, 주인의식을 가지고 역할을 충실히 수행한다.”"
삼성중공업,https://www.samsungcareers.com/subsid/detail/D60,"글로벌 감각 및 능력과 함께 인간미를 갖추었으며, 창의와 협력을 바탕으로 미래를 개척해나갈 수 있는 인재","Open mind, talent, heart","글로벌 감각 및 능력과 함께 인간미를 갖추었으며, 창의와 협력을 바탕으로 미래를 개척해나갈 수 있는 인재"
LG전자,https://www.lge.co.kr/company/recruit/talent,LG WAY에 대한 신념과 실행력을 겸비한 사람,"도전정신, 고객중심, 창의·자율, 실력-정직 경쟁","꿈과 열정을 가지고 세계 최고에 도전하는 사람
고객을 최우선으로 생각하고 끊임없이 혁신하는 사람
팀워크를 이루며 자율적이고 창의적으로 일하는 사람
꾸준히 실력을 배양하여 정정당당하게 경쟁하는 사람"
LG생활건강,https://www.lghnh.com/m/recruit/right.jsp,실행력 강하고 안목 있으며 도덕성과 글로벌 역량을 겸비한 인재,"실행력, 안목, 도덕성, Global Competency","뛰어난 장사꾼 (실행력 강한 인재)
남다른 안목을 가진 인재
확고한 도덕성과 명예를 존중하는 인재
글로벌 역량(Global Competency)을 갖춘 인재"
LG에너지솔루션,https://www.lgensol.com/kr/career-talent,"성장, 도전, 실행, 협업의 능력을 갖춘 성취지향적인 인재
LG WAY에 대한 신념과 실행력을 겸비한 사람","성장, 도전, 실행, 협업","기술로 세상의 잠재된 힘을 깨우기 위해 성장 기회를 적극 탐색하고, 새로운 방식으로 도전하며, 빠르게 실행하고 끝까지 완성하여, 다양한 배경의 동료들과 협력할 수 있는 성취지향적인 인재"
LGCNS,https://www.lgcns.com/kr/careers/who-we-are,"문제를 통찰력과 기술로 해결하고 혁신하며, 자율과 책임으로 성장·협업·존중을 실천하는 인재","전문성, 혁신, 자율•책임, 성장, 협업, 존중","Insightful Expert (전문성): 보이지 않는 문제를 통찰력과 뛰어난 기술력으로 해결하는 전문가
Game Changer (혁신): 틀을 바꾸는 몰입과 기술로 혁신을 주도하는 사람
Empowered Achiever (자율과 책임): 스스로의 원칙 아래 책임 있게 가치를 창출하는 실행자
Self-Motivated Learner (성장): 자발적 학습과 변화로 세상의 변화를 이끄는 성장형 인재
Synergy Builder (협업): 각자의 역량을 모아 함께 더 큰 성장을 이루는 협업가
Open-Minded Listener (존중): 상대의 다름과 용기를 존중하고 포용하는 수용형 리스너"
LG디스플레이,https://www.lgdisplay.com/kor/company/employ/office-life,"고객 기대를 뛰어넘는 가치 구현과 직무 전문성, 자율 몰입, 삶을 중시하는 균형, 참여 문화를 함께 만들어가는 인재","고객가치 최우선, 통찰력, 민첩성, 철저함, 열린 협업","고객의 기대를 뛰어넘는 새로운 가치를 구현하는 인재
직무 전문가로 끊임없이 성장하는 인재
자율적으로 업무에 몰입할 수 있는 환경 속에서 일하는 인재
개인과 가족의 삶을 적극 지원받으며 일하는 인재
직급 구분 없이 자유롭게 의견을 제안하는 참여 문화를 함께 만드는 인재"
LG이노텍,https://www.lginnotek.com/recruit/talent.lgit,LG Way 신념과 실행력을 갖추고 긍정·협력으로 조직과 고객 중심의 가치를 창출할 인재,"신념과 실행력, 긍정적 마인드, 협력, 도전, 자율·창의, 고객중심, 혁신, 전문성, 공정경쟁","LG Way에 대한 신념과 실행력을 겸비한 사람
긍정적인 마인드와 협력하는 자세로 조직의 화합과 고객 만족을 위해 꾸준히 노력하는 인재
꿈과 열정을 가지고 세계 최고에 도전하는 사람
팀워크를 이루며 자율적이고 창의적으로 일하는 사람
고객을 최우선으로 생각하고 끊임없이 혁신하는 사람
꾸준히 실력을 배양하며 정정당당하게 경쟁하는 사람"
LG유플러스,https://www.lguplus.com/about/ko/career/human-resources,"꿈과 열정을 기반으로 도전하며, 고객 중심 혁신과 자율적 창의, 공정 경쟁을 실천하는 인재","열정(Passion), 혁신(Innovation), 자율·창의(Originality), 공정 경쟁(Competition)","PASSION: 꿈과 열정을 가지고 세계 최고에 도전하는 사람
INNOVATION: 고객을 최우선으로 생각하고 끊임없이 혁신하는 사람
ORIGINALITY: 팀워크를 이루며 자율적이고 창의적인 사람
COMPETITION: 꾸준히 실력을 배양하여 정정당당하게 경쟁하는 사람"
LS,https://www.lsholdings.com/ko/careers/model,"밝고 긍정적인 마음으로 협업하며, 창의와 혁신을 통해 글로벌 성장을 이끌고 전문성과 열정을 갖춘 인재","긍정, 창의, 전문성","Positive: 밝은 에너지와 긍정적인 마인드를 갖추고 윤리적 절차를 준수하며 함께 일하는 사람들과 상생하는 인재
Creative: 창의력을 바탕으로 변화와 혁신을 주도하며 글로벌 성장을 이끄는 인재
Professional: 자신의 분야에서 최고가 되기 위해 노력하고, 글로벌 감각과 열정을 갖춘 전문 인재"
LS전기,https://www.ls-electric.com/ko/recruit/intro,"밝고 윤리적이며 창의적 혁신을 이끌고, 분야별 전문성과 글로벌 감각을 갖춘 인재","긍정적 마인드, 창의·혁신, 전문성","Positive: 밝은 기운과 긍정적인 마인드를 바탕으로 윤리적 절차를 지키며 함께 일하는 인재
Creative: 창의력으로 변화와 혁신을 추구하며, 가치를 창출하고 글로벌 성장을 이끄는 인재
Professional: 자신의 분야에서 최고가 되기 위해 노력하며, 글로벌 감각과 열정을 갖춘 전문 인재"
LSMnM,https://www.lsmnm.com/about/vision,"정성을 다하고 존중과 협력을 실천하며, 학습과 통찰을 통해 탁월함을 추구하는 인재","Integrity(정성·주인의식·치밀성·실행력), Respect(오픈·연결·협업·융합), Excellence(학습·지식습득·통찰력·예측력)","LS MnM은 기본가치로 정성과 주인의식, 치밀성과 실행력을 갖춘 Integrity 있는 인재, 관계가치로 오픈과 연결을 바탕으로 협업과 융합을 실천하는 Respectful한 인재, 사업가치로 학습과 지식 습득을 통해 통찰력과 예측력을 발휘하며 Excellence를 추구하는 인재상을 지향합니다"
LS이모빌리티솔루션,https://www.lsems.com/ko/talent/type,밝고 창의적이며 전문성을 갖추어 함께 미래를 만들어가는 인재,"Positive, Creative, Professional",밝고 (Positive) 창의적이며 (Creative) 최고의 전문성을 가진 (Professional) 인재
LX인터네셔널,https://www.lxinternational.com/kr/recruit,차별화된 ‘사업가’로 성장할 창의적이고 도전적인 인재,"추진력, 미래지향성, 협업 마인드, 전문성, 학습 성장","LX인터내셔널은 창의적이고 도전적으로 행동하며, 고객 가치를 바탕으로 차별화된 사업가로 성장하는 인재를 추구합니다. 치열하고 집요한 추진력, 미래를 예측하는 행동 양식, 긍정적인 협업 자세, 맡은 분야에 대한 실력과 전문성, 그리고 끊임없는 학습과 성장 욕구를 갖춘 인재가 바로 우리가 찾는 인재상입니다."
LX세미콘,https://www.lxsemicon.com/kr/company/recruitment-information/ideal-talent,"신념과 실행력을 바탕으로 열정과 경쟁력, 협업과 창의, 혁신을 실천하는 인재","Passion, Competitiveness, Teamwork, Innovation","LX세미콘은 꿈과 열정을 가지고 세계 최고에 도전하며, 꾸준히 실력을 키워 정정당당하게 경쟁하고, 팀워크 속에서 자율적이고 창의적으로 협업하는 인재, 또한 고객 중심으로 끊임없이 혁신하는 인재를 지향합니다."
LXMMA,https://www.lxmma.com/mobile/about/recruit/talent.do,"신념과 실행력을 기반으로 혁신과 도전, 경쟁 및 창의 협업까지 실천하는 인재","Innovation, Passion, Competition, Originality","기업 경쟁력의 원천은 사람'이라는 철학 아래, 고객 최우선으로 끊임없이 혁신하며(Passion), 세계 최고를 꿈꾸는 열정으로 도전하고(Innovation/Passion), 실력을 꾸준히 성장시켜 정정당당하게 경쟁하며(Competition), 팀워크 속에서 자율적이고 창의적으로 일하는(Originality) 인재를 지향합니다."
LX판토스,https://www.lxpantos.com/kr/company/recruitment/ideal-talent.do,"신념과 실행력, 창의력과 혁신, 도전 정신, 그리고 공정 경쟁을 실천하는 인재","신념·실행력, 창의, 혁신, 도전, 공정경쟁","LX판토스는 신념과 실행력을 겸비한 인재, 팀워크 속에서도 자율적이고 창의적으로 일하는 인재, 고객을 최우선으로 여기며 혁신을 이어가는 인재, 꿈과 열정으로 세계 최고에 도전하는 인재, 꾸준한 노력으로 정정당당하게 경쟁하는 인재를 추구합니다"
현대,https://careers.hyundaigroup.com/rightperson,"도전, 소통, 창의로 미래를 개척하는 인재","도전, 소통, 창의","도전(Challenge): 꿈을 향해 도전하는 현대인
소통(Communication): 소통하고 협업하는 현대인
창의(Creativity): 창조하고 실행하는 현대인"
현대자동차,https://talent.hyundai.com/culture/way.hc,"안전·품질 준수, 끝까지 집요하게 도전하고 민첩하게 실행하며, 협업·다양성·전문성·윤리·데이터 기반 사고를 실천하는 인재","Safety & Quality, Tenacity, Progress, Agility, Collaboration, Resilience, Diversity & Inclusion, Expertise, Integrity, Data-Driven Thinking","현대자동차는 안전과 품질을 최우선으로 여기며, 끝까지 문제의 본질을 파고드는 집요함과 꾸준한 시도 및 발전, 불확실한 상황에서도 민첩하게 실행하는 인재를 지향합니다. 더불어 협업과 회복탄력성을 바탕으로 다양성을 포용하고, 전문성을 갖춘 채 윤리∙정직하게 일하며, 데이터를 기반으로 사고하고 의사결정하는 인재를 추구합니다."
현대글로벌서비스,https://crm.hyundai-gs.com/m/Recruit/rec03_1.aspx,"창업정신을 계승해, 최고를 향한 도전과 혁신, 신뢰를 실천하는 창조적 실천인","도전적 열정, 혁신, 정직·신뢰","현대글로벌서비스는 창업정신과 경영철학을 구현하는 '창조적 실천인'을 지향합니다. 일에 대한 열정과 도전으로 자신과 회사를 성장시키며, 창의적 실천으로 세상을 바꿀 수 있는 혁신을 이끌고, 존중과 열린 소통, 정직한 행동으로 신뢰를 쌓는 인재를 찾습니다."
현대모비스,https://www.mobis.com/kr/aboutus/careers.do,도전적·협력적 사고와 창의적 융합 역량으로 내일의 모빌리티를 함께 만들어갈 인재,"도전(Challenge), 협업(Collaboration), 창의성(Creativity), 융합(Convergence)","현대모비스는 내일의 모빌리티를 함께 만들어갈 인재로서, 한계를 뛰어넘는 도전정신과 시너지를 창출하는 협업능력, 세상을 앞서가는 창의성, 그리고 성장가능성을 확대하는 융합적 사고를 가진 인재를 지향합니다."
HD현대삼호,https://www.hshi.co.kr/PageLink.do?link=recruit/talent,"창조적 지혜와 적극적 의지, 강인한 추진력으로 도전하는 현대정신을 지닌 인재","창조적 예지 (Creative Wisdom), 적극의지 (Positive Thinking), 강인한 추진력 (Unwavering Drive)","HD현대삼호중공업은 창업자 정주영의 철학을 바탕으로, 고객과 사회의 요구에 부응하기 위해 새로움을 추구하는 창의적 지혜를 갖추고, 투철한 주인의식으로 능동적으로 도전하며, 불굴의 의지로 목표를 달성하는 강인한 추진력을 가진 인재를 추구합니다."
HD현대일렉트릭,https://careers.hyundaigroup.com/rightperson,"도전, 소통, 창의로 미래를 개척하는 인재","도전, 소통, 창의","현대그룹은 꿈을 향해 도전하며, 소통과 협업을 통해 함께 성장하고, 창조적인 아이디어를 실행으로 옮겨 미래를 개척하는 인재를 지향합니다."
현대제철,https://www.hyundai-steel.com/kr/company/hyundaisteel-story,"도전정신, 창의적 실행, 전문성, 협업으로 미래를 창조하는 인재","Challenger, Creator, Specialist, Collaborator","현대제철은 미래 도약을 위한 도전정신(Challenger)을 갖추고, 적극적이고 창의적인 자세로 변화에 대응하는 창조인(Creator), 담당 분야에서 최고가 되기 위해 전문역량을 갖춘 전문인(Specialist), 동료들과 원만하게 협력하는 친화인(Collaborator)을 지향합니다."
현대해상,https://hi.recruiter.co.kr/career/taleted,미래를 주도하며 고객 가치를 창출하고 책임감을 실천하는 금융 전문인재,"미래 창조인, 금융 전문인, 자율 경영인, HEART (존중/Honor, 효율/Efficiency, 실행/Action, 정도/Right, 협력/Together)","현대해상은 미래를 주도하는 창조적 인재, 고객의 가치를 창출하는 금융 전문인, 책임감과 주인의식을 갖춘 자율 경영인을 지향합니다. 또한 존중(Honor), 효율(Efficiency), 실행(Action), 정도(Right), 협력(Together)이라는 HEART 핵심가치를 실천하는 인재를 원합니다."
현대엔지니어링,https://m.hec.co.kr/ko/recruit/talent,전문성과 도전정신을 바탕으로 협업하며 인간 중심의 가치를 실천하는 인재,"Expert with U, Pioneer, Professional, Humanist","현대엔지니어링은 전체를 이해하고 진취적으로 협업하는 전문가(Expert with U), 과감한 시도로 끝까지 완수하는 개척자 정신의 도전가(Pioneer), 높은 성과를 내기 위한 전문성과 몰입을 지닌 전문인(Professional), 대내외를 존중하고 배려하는 인간 중심의 인재(Humanist)로 구성된 인재상을 지향합니다."
현대트랜시스,https://www.hyundai-transys.com/ko/company/information/philosophy.do,"창의적 사고와 끝없는 도전으로 새로운 미래를 창조하고, 무한책임 정신을 실천하는 인재","고객 최우선, 도전적 실행, 소통과 협력, 인재 존중, 글로벌 지향","현대트랜시스는 고객의 안전과 행복을 위해 무한 책임 정신으로 품질을 보장하며, 실패를 두려워하지 않고 끊임없이 도전하여 더 큰 미래를 실현하는 인재를 지향합니다. 구성원은 고객을 최우선으로 여기며, 도전적 실행과 소통·협력을 통해 함께 성장하고, 상호 존중과 글로벌 마인드를 바탕으로 지속가능한 가치를 창출"
현대위아,https://hyundai-wia.recruiter.co.kr/career/home,도전과 혁신으로 초일류로 이끄는 창조적 사고와 실천 인재,"고객 최우선, 도전적 실행, 인재 존중, 소통과 협력, 글로벌 지향","현대위아는 도전과 혁신을 기반으로 회사의 초일류 도약을 주도할 창조적 사고와 실천 의지를 갖춘 인재를 찾습니다. 고객을 최우선으로 고려하며, 도전적 실행을 통해 목표를 실현하고, 구성원을 존중하며 소통과 협력을 통해 함께 성장하며, 글로벌 시각을 갖춘 인재를 지향합니다."
HDC현대산업개발,https://www.hdc-dvp.com/mobile/recruitment/talent.do,"원칙에 따라 실행하고, 혁신과 독창성으로 고객 중심의 통찰과 열정을 실천하는 인재","정도경영, 실행, 혁신, 독창성, 고객중심, 통찰, 열정","HDC현대산업개발은 원칙에 따라 바르게 사고하며 철저히 실행하는 자세를 갖춘 인재를 지향합니다. 또한 끊임없이 변화를 주도하고, 우리만의 독창성으로 세상을 이끌며, 고객을 존재 이유로 여겨 고객 중심의 가치를 실현합니다. 더 넓은 관점에서 균형과 조화를 추구하는 통찰력과, 모든 일에 앞서 열정이 우선하는 태도를 중요시합니다."
KIA,https://career.kia.com/life/slogan.kc,"고객과 동료에게 영감을 주며 함께 더 멀리 나아가고, 한계를 과감히 도전하는 인재","고객중심, 사람중심, 협업, 책임, 도전, 개선, 민첩성, 데이터 기반 사고","기아는 사람을 중심에 두며, 고객과 동료에게 영감을 불어넣고 함께 성장하는 인재를 지향합니다. 서로를 존중과 공감으로 연결하고, 공정하고 지속가능한 세상을 만드는 데 책임을 다합니다. 또한 한계를 과감히 도전하며, 민첩하게 대응하고 지속적으로 개선하며, 데이터와 직관의 균형을 기반으로 최적의 결정을 내리는 인재가 되길 바랍니다."
네이버,https://recruit.navercorp.com/cnts/value,모두에게 더 나은 가능성을 열어주고 기술로 연결하며 다양성을 포용하는 인재,"가능성 창출, 기술로 연결, 다양성, 창업 지원, 시대 기록","NAVER는 모두에게 더 나은 가능성을 제공하고, 기술을 다리로 삼아 사람과 세상을 연결하며, 다양한 시선과 창작을 포용하는 인재를 지향합니다. 나아가 창업자를 데이터와 기술로 지원하고, 시대의 흐름을 기록하는 서비스를 함께 만들어갈 인재를 찾습니다."
SK,https://www.sk.co.kr/ko/careers/person.jsp,경영철학에 대한 확신을 바탕으로 일과 싸워 이기는 패기를 실천하는 인재,"경영철학 확신, Voluntarily, Willingly, Brain Engagement (VWBE), Super Excellence (SUPEX), 과감한 실행의 패기, 팀워크","SK는 구성원이 경영철학에 대한 확신을 가지고 내적으로 동기부여된 자발성과 의욕(VWBE)을 발휘하며, 인간 능력의 최고 수준인 SUPEX를 추구하는 ‘일과 싸워 이기는 과감한 실행의 패기’를 지닌 인재를 원합니다. 또한, 팀워크를 통해 함께 성장하는 사람이 되기를 지향합니다."
SK네트웍스,https://www.sknetworks.co.kr/career/corporate-culture,패기와 소통으로 고객 가치를 창출하고 전문성을 지닌 인재,"패기, 고객지향, 전문성, 소통","SK네트웍스는 자발적 의욕(brain engagement)인 ‘패기’를 발휘하고, 고객과 호흡하며 가치를 창출하는 인재를 지향합니다. 동시에 꾸준한 자기개발을 통해 전문성을 유지하며, 열린 마음으로 동료와 소통하고 협업할 수 있는 사람을 원합니다."
SK하이닉스,https://www.skhynix.com/careers/UI-FR-CR01/,"자발성과 의욕으로 최고를 추구하며, 기술력과 실행력으로 함께 성장하는 인재","VWBE, SUPEX, Passion, Collaboration, Technical Competency, Strategic Thinking & Execution","SK하이닉스는 스스로 동기를 부여하고 적극 참여하는 자발-의욕 인재(VWBE), 인간 능력의 최고 수준을 추구하는 SUPEX형 인재, 기술 역량을 기반으로 '할 수 있다'는 패기를 지닌 인재, 경계를 넘어 협업하는 협력형 인재, 향후 시장을 전략적으로 예측하고 움직이는 사고력 및 실행력을 갖춘 인재를 지향합니다."
SK케미칼,https://skchem.recruiter.co.kr/appsite/company/callSubPage?code1=4000&code2=4200,경영철학에 대한 확신과 VWBE·SUPEX 문화로 실천하는 따뜻한 프로페셔널 인재,"경영철학 확신, VWBE, SUPEX, 따뜻한 프로페셔널","SK케미칼은 경영철학을 확고히 이해하고 실천하며, 자발성(Voluntarily), 의욕(Willingly), 두뇌 활용(Brain Engagement)의 VWBE, 인간 능력의 최고 수준을 추구하는 SUPEX 문화를 바탕으로 ‘따뜻한 프로페셔널(Friendly, Reliable, Energetic, Sociable, Happy)’한 인재를 지향합니다."
SK가스,https://skgas.co.kr/Company/people.html,자긍심과 배려를 기반으로 주인의식을 가지고 성장하며 도전하고 실행하는 따뜻한 프로페셔널,"따뜻함, 프로페셔널, 자긍심·공동체, 주인의식, 도전적 목표, 즐거운 실행, 지식 공유","SK가스는 스스로의 일에 자긍심과 공동체 의식을 갖고, 주인의식을 기반으로 끊임없이 성장하며 도전적 목표를 설정하고 철저하되 즐겁게 실행하며 지식을 나누며 함께 발전하는 '따뜻한 프로페셔널' 인재를 추구합니다."
SK마이크로웍스,https://skmws.recruiter.co.kr/appsite/company/callSubPage?code1=4000&code2=4200,"경영철학에 대한 확신과 VWBE·SUPEX 문화를 바탕으로, 글로벌 소재 전문성으로 패기 있게 도전하는 인재","경영철학 확신, VWBE, SUPEX, 패기, 글로벌 전문성","SK머티리얼즈는 SK 그룹의 경영철학에 대한 확신을 갖고, 자발성·의욕·두뇌 활용(VWBE)을 기반으로 인재의 최고 수준을 추구하는 SUPEX 문화를 실천하는 인재를 지향합니다. 또한 과감한 실행의 패기를 바탕으로 글로벌 소재 분야의 전문가로 성장할 수 있는 인재를 기대합니다."
SK이터닉스,https://www.sketernix.com/career/value.do,"지속가능한 에너지 세상을 향한 신념으로, 자긍심과 공동체 의식을 갖추고, 도전적 목표를 설정하며 즐겁게 실행하고 지식을 공유하는 ‘따뜻한 프로페셔널’ 인재","따뜻함 (자긍심, 공동체 의식, 상호 배려), 프로페셔널 (내 일 알기, 도전적 목표 설정, 철저하고 즐거운 실행, 지식 공유)","SK이터닉스 구성원은 ‘지속가능한 에너지 세상을 만든다’는 신념 아래 내 일에 대한 자긍심과 조직에 대한 공동체 의식을 갖춘 따뜻함을 지닌 사람들입니다. 이들은 과감한 목표를 스스로 설정하고, 책임감 있게 실행하며 그 과정에서 즐거움을 추구합니다. 또한 업무에서 얻은 지식을 적극적으로 공유함으로써 자신뿐 아니라 조직 전체의 역량을 함께 키워나가는 프로페셔널 인재입니다."
